pii_event_id,event_id,pii_type,matched_text
1,1,EMAIL,[REDACTED]
2,5,PHONE,[REDACTED]
3,5,PHONE,[REDACTED]
4,5,PHONE,[REDACTED]
5,8,EMAIL,[REDACTED]
6,8,ACCOUNT,[REDACTED]
7,9,SSN,[REDACTED]
8,9,SSN,[REDACTED]
9,9,PHONE,[REDACTED]
10,11,EMAIL,[REDACTED]
11,11,EMAIL,[REDACTED]
12,17,PHONE,[REDACTED]
13,33,SSN,[REDACTED]
14,33,ACCOUNT,[REDACTED]
15,47,PHONE,[REDACTED]
16,47,SSN,[REDACTED]
17,50,PHONE,[REDACTED]
18,50,ACCOUNT,[REDACTED]
19,50,ACCOUNT,[REDACTED]
20,53,PHONE,[REDACTED]
21,63,EMAIL,[REDACTED]
22,63,PHONE,[REDACTED]
23,63,SSN,[REDACTED]
24,66,EMAIL,[REDACTED]
25,67,SSN,[REDACTED]
26,67,SSN,[REDACTED]
27,67,EMAIL,[REDACTED]
28,70,EMAIL,[REDACTED]
29,70,ACCOUNT,[REDACTED]
30,70,SSN,[REDACTED]
31,73,ACCOUNT,[REDACTED]
32,95,SSN,[REDACTED]
33,95,EMAIL,[REDACTED]
34,95,SSN,[REDACTED]
35,109,PHONE,[REDACTED]
36,109,SSN,[REDACTED]
37,137,SSN,[REDACTED]
38,138,EMAIL,[REDACTED]
39,140,SSN,[REDACTED]
40,140,EMAIL,[REDACTED]
41,156,ACCOUNT,[REDACTED]
42,156,ACCOUNT,[REDACTED]
43,163,ACCOUNT,[REDACTED]
44,163,ACCOUNT,[REDACTED]
45,171,SSN,[REDACTED]
46,171,ACCOUNT,[REDACTED]
47,174,SSN,[REDACTED]
48,174,SSN,[REDACTED]
49,174,SSN,[REDACTED]
50,180,SSN,[REDACTED]
51,180,SSN,[REDACTED]
52,180,PHONE,[REDACTED]
53,182,SSN,[REDACTED]
54,182,PHONE,[REDACTED]
55,182,PHONE,[REDACTED]
56,185,SSN,[REDACTED]
57,185,PHONE,[REDACTED]
58,185,ACCOUNT,[REDACTED]
59,189,ACCOUNT,[REDACTED]
60,189,SSN,[REDACTED]
61,193,EMAIL,[REDACTED]
62,193,EMAIL,[REDACTED]
63,194,ACCOUNT,[REDACTED]
64,200,PHONE,[REDACTED]
65,200,EMAIL,[REDACTED]
66,200,PHONE,[REDACTED]
67,205,PHONE,[REDACTED]
68,205,SSN,[REDACTED]
69,205,EMAIL,[REDACTED]
70,207,SSN,[REDACTED]
71,209,ACCOUNT,[REDACTED]
72,211,SSN,[REDACTED]
73,211,PHONE,[REDACTED]
74,211,EMAIL,[REDACTED]
75,212,PHONE,[REDACTED]
76,212,EMAIL,[REDACTED]
77,212,ACCOUNT,[REDACTED]
78,214,EMAIL,[REDACTED]
79,214,EMAIL,[REDACTED]
80,214,EMAIL,[REDACTED]
81,223,PHONE,[REDACTED]
82,228,SSN,[REDACTED]
83,230,SSN,[REDACTED]
84,237,ACCOUNT,[REDACTED]
85,237,SSN,[REDACTED]
86,237,PHONE,[REDACTED]
87,240,SSN,[REDACTED]
88,240,PHONE,[REDACTED]
89,240,SSN,[REDACTED]
90,241,ACCOUNT,[REDACTED]
91,250,PHONE,[REDACTED]
92,250,EMAIL,[REDACTED]
93,255,EMAIL,[REDACTED]
94,255,SSN,[REDACTED]
95,255,PHONE,[REDACTED]
96,256,SSN,[REDACTED]
97,256,EMAIL,[REDACTED]
98,256,PHONE,[REDACTED]
99,285,ACCOUNT,[REDACTED]
100,285,PHONE,[REDACTED]
101,302,PHONE,[REDACTED]
102,302,EMAIL,[REDACTED]
103,302,PHONE,[REDACTED]
104,303,ACCOUNT,[REDACTED]
105,303,EMAIL,[REDACTED]
106,316,PHONE,[REDACTED]
107,328,EMAIL,[REDACTED]
108,332,ACCOUNT,[REDACTED]
109,332,PHONE,[REDACTED]
110,332,PHONE,[REDACTED]
111,344,PHONE,[REDACTED]
112,350,ACCOUNT,[REDACTED]
113,350,ACCOUNT,[REDACTED]
114,355,PHONE,[REDACTED]
115,355,ACCOUNT,[REDACTED]
116,358,SSN,[REDACTED]
117,358,EMAIL,[REDACTED]
118,358,SSN,[REDACTED]
119,359,EMAIL,[REDACTED]
120,359,EMAIL,[REDACTED]
121,360,SSN,[REDACTED]
122,360,SSN,[REDACTED]
123,375,SSN,[REDACTED]
124,380,ACCOUNT,[REDACTED]
125,380,EMAIL,[REDACTED]
126,380,SSN,[REDACTED]
127,404,PHONE,[REDACTED]
128,404,ACCOUNT,[REDACTED]
129,404,EMAIL,[REDACTED]
130,434,ACCOUNT,[REDACTED]
131,434,EMAIL,[REDACTED]
132,439,PHONE,[REDACTED]
133,439,EMAIL,[REDACTED]
134,439,ACCOUNT,[REDACTED]
135,455,SSN,[REDACTED]
136,455,ACCOUNT,[REDACTED]
137,455,PHONE,[REDACTED]
138,465,SSN,[REDACTED]
139,465,EMAIL,[REDACTED]
140,465,EMAIL,[REDACTED]
141,476,EMAIL,[REDACTED]
142,476,ACCOUNT,[REDACTED]
143,476,EMAIL,[REDACTED]
144,482,EMAIL,[REDACTED]
145,490,ACCOUNT,[REDACTED]
146,490,PHONE,[REDACTED]
147,490,SSN,[REDACTED]
148,498,ACCOUNT,[REDACTED]
149,505,SSN,[REDACTED]
150,508,PHONE,[REDACTED]
151,508,EMAIL,[REDACTED]
152,510,EMAIL,[REDACTED]
153,535,PHONE,[REDACTED]
154,535,ACCOUNT,[REDACTED]
155,535,ACCOUNT,[REDACTED]
156,540,SSN,[REDACTED]
157,540,SSN,[REDACTED]
158,542,PHONE,[REDACTED]
159,542,SSN,[REDACTED]
160,542,PHONE,[REDACTED]
161,547,PHONE,[REDACTED]
162,547,EMAIL,[REDACTED]
163,547,ACCOUNT,[REDACTED]
164,561,ACCOUNT,[REDACTED]
165,561,PHONE,[REDACTED]
166,561,SSN,[REDACTED]
167,568,PHONE,[REDACTED]
168,568,ACCOUNT,[REDACTED]
169,568,EMAIL,[REDACTED]
170,573,ACCOUNT,[REDACTED]
171,573,PHONE,[REDACTED]
172,573,PHONE,[REDACTED]
173,578,ACCOUNT,[REDACTED]
174,578,SSN,[REDACTED]
175,581,EMAIL,[REDACTED]
176,581,ACCOUNT,[REDACTED]
177,581,EMAIL,[REDACTED]
178,582,SSN,[REDACTED]
179,589,PHONE,[REDACTED]
